UNID,名称,所在地,経度,緯度
1,泉公園,泉町５番８,130.558733,31.59398603
2,共研公園,中央町１４番５,130.5459362,31.58292171
3,清滝公園,西千石町９番１,130.5489934,31.58869949
4,甲突川右岸緑地,上之園町２番１外,130.5487377,31.58372296
5,甲突川左岸緑地,平之町３５番２外,130.5588195,31.57942363
6,ザビエル公園,東千石町４番１,130.5512421,31.59118556
7,塩釜公園,新屋敷町３２番４,130.5590054,31.58427608
8,城南公園,城南町５番　,130.5619892,31.57901095
9,新屋敷公園,新屋敷町１３番１,130.5555818,31.58245394
10,天文館公園,千日町９番３０,130.5560956,31.58811435
11,平田公園,平之町６番１,130.5462267,31.591538
12,旭ケ丘ニュータウン第１公園,東坂元４丁目６２番,130.5652451,31.62408464
13,上本町公園,上本町１番１,130.5591424,31.60174049
14,祗園之洲公園,清水町１０番２外,130.5698547,31.6050195
15,祗園之洲緑地,祇園之洲町６１番の一部,130.5739654,31.60568554
16,キリンさん公園,東坂元１丁目１４番,130.5601675,31.61837425
17,坂元公園,東坂元２丁目４０番,130.5553705,31.62235695
18,ゾウさん公園,東坂元１丁目１２番,130.5602756,31.61567551
19,多賀山公園,清水町３２,130.5701706,31.6068693
20,竹の子公園,東坂元３丁目３２番,130.5617163,31.62024805
21,玉里第五公園,玉里団地３丁目２７番,130.5465979,31.62041212
22,玉里第六公園,玉里団地１丁目３番,130.5453202,31.61828927
23,玉里中央公園,玉里団地１丁目７９番,130.5439602,31.62046703
24,中央公園,山下町４番１外,130.5538625,31.59406654
25,辻ヶ丘公園,東坂元２丁目４８番,130.5557895,31.62426182
26,照国公園,城山町１番２,130.5522547,31.59418741
27,夏陰公園,長田町３６番,130.5471724,31.60188177
28,南洲公園,上竜尾町２２番１外,130.5589381,31.60590623
29,催馬楽公園,坂元町５２番,130.5568278,31.61554653
30,リスさん公園,東坂元１丁目４番,130.5615635,31.61544646
31,若葉第三公園,若葉町３６番,130.5457698,31.62601068
32,若宮公園,池之上町８番２３,130.5648092,31.60713982
33,荒田公園,荒田１丁目４９番１,130.5484168,31.5746881
34,一本桜公園,紫原６丁目５２番,130.5333204,31.56362742
35,牛掛公園,南郡元町２１番１５,130.5436789,31.55340346
36,宇宿台第一公園,桜ヶ丘８丁目３２番,130.5260478,31.54555284
37,宇宿台第二公園,桜ヶ丘８丁目９番,130.5287677,31.54293417
38,梶原公園,宇宿７丁目４,130.5323839,31.55059123
39,梶原迫公園,西紫原町７番,130.529006,31.55433462
40,亀ケ原公園,桜ヶ丘８丁目１６番,130.5286166,31.54408904
41,鴨池公園,鴨池２丁目３１番，３２番外,130.5598376,31.56475359
42,鴨池児童公園,鴨池２丁目２５番,130.5504077,31.56359274
43,騎射場公園,荒田２丁目６９番,130.5503216,31.56990604
44,甲南公園,高麗町２３番,130.5507496,31.58023664
45,桜ヶ丘七丁目公園,桜ヶ丘７丁目１０番,130.5228994,31.55384255
46,しいのみ公園,紫原３丁目４８番,130.5349165,31.55317497
47,田平公園,宇宿５丁目２６,130.5322421,31.5466378
