種別,利用用途,施設名,住所,緯度,経度
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,赤塚第三中学校          　　　　,東京都板橋区赤塚7-27-15,35.779646,139.647923
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,三園小学校,東京都板橋区三園1-24-1,35.790349,139.637485
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,赤塚第一中学校        　　　　,東京都板橋区徳丸4-13-1,35.77138,139.651867
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,上板橋第四小学校,東京都板橋区上板橋1-3-1,35.761477,139.678877
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,若木小学校,東京都板橋区若木1-14-1,35.769253,139.675364
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,徳丸小学校,東京都板橋区徳丸1-21-1,35.771782,139.666632
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,高島第六小学校,東京都板橋区高島平1-50-1,35.784466,139.67041
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,赤塚小学校,東京都板橋区赤塚3-1-22,35.777674,139.640431
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,赤塚第二中学校         　　　　,東京都板橋区成増3-18-1,35.780612,139.633193
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,大谷口小学校　,東京都板橋区大谷口北町21-1,35.750727,139.690016
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,板橋第七小学校,東京都板橋区大山金井町31-1,35.745537,139.704797
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,板橋第五小学校,東京都板橋区中丸町19-1,35.741471,139.704646
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,上板橋第三中学校　　　　　　　　　　　　　,東京都板橋区常盤台3-30-1,35.763464,139.682274
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,志村第六小学校,東京都板橋区坂下2-18-1,35.783748,139.680665
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,志村第一小学校,東京都板橋区泉町17-1,35.766343,139.70153
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,板橋第二小学校,東京都板橋区板橋2-52-1,35.748766,139.710493
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,板橋第四小学校,東京都板橋区板橋4-9-13,35.749913,139.716552
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,中根橋小学校,東京都板橋区栄町14-1,35.755954,139.700879
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,板橋第三中学校　　　　　　　　　　　　　　,東京都板橋区氷川町22-3,35.755784,139.706853
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,志村第四小学校,東京都板橋区小豆沢4-13-1,35.780362,139.701372
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,蓮根第二小学校,東京都板橋区蓮根3-15-5,35.788162,139.677879
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,前野小学校,東京都板橋区前野町6-40-1,35.768374,139.687573
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,舟渡小学校,東京都板橋区舟渡3-6-15,35.793635,139.681648
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,富士見台小学校,東京都板橋区前野町1-10-1,35.763863,139.695353
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,北前野小学校,東京都板橋区前野町5-44-3,35.773131,139.685155
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,志村第二小学校,東京都板橋区志村1-7-1,35.772575,139.697837
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,上板橋小学校,東京都板橋区東山町47-3,35.755042,139.68634
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,赤塚新町小学校,東京都板橋区赤塚新町3-31-1,35.769406,139.636166
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,新河岸小学校,東京都板橋区新河岸1-3-1,35.793775,139.665068
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,緑小学校,東京都板橋区中台3-27-1,35.772415,139.679454
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,高島第三中学校,東京都板橋区高島平4-22-1,35.788383,139.651189
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,桜川小学校,東京都板橋区東新町2-29-1,35.755105,139.67852
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,上板橋第二中学校,東京都板橋区小茂根1-2-1,35.747649,139.681186
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,加賀中学校 　　　　　　　　　　　　　　,東京都板橋区加賀2-19-1,35.759555,139.716525
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,志村第二中学校 　　　　　　　　　　　　　　,東京都板橋区小豆沢1-21-1,35.775469,139.702965
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,高島第五小学校,東京都板橋区高島平3-11-1,35.786856,139.657229
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,成増小学校,東京都板橋区成増1-11-1,35.77436,139.631891
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,成増ヶ丘小学校,東京都板橋区成増3-17-7,35.780861,139.634372
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,中台小学校,東京都板橋区中台1-9-7,35.766426,139.68096
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,志村第五小学校,東京都板橋区西台3-38-23,35.77699,139.668501
避難所,災害等により、自宅が倒壊、または倒壊の危険がある場合など自宅での避難が難しい方が避難する場所,桜川中学校 　　　　　　　　　　　　　　　,東京都板橋区桜川1-2-1,35.756217,139.676931
