No,名称,住所,緯度,経度
1,板橋地域センター,板橋区板橋3-14-15,35.75122449 ,139.7122383
2,仲宿地域センター,板橋区氷川町40-9,35.75395834 ,139.7071428
3,仲町地域センター,板橋区仲町20-5,35.75115197 ,139.6963361
4,熊野地域センター,板橋区熊野町40-9,35.74363733 ,139.7044268
5,桜川地域センター,板橋区東新町2-45-6,35.75238664 ,139.6817465
6,常盤台区民事務所,板橋区常盤台3-27-1,35.76123256 ,139.6824586
7,板橋西清掃事務所,板橋区徳丸1-16-1,35.76916154 ,139.666599
8,成増社会教育会館,板橋区成増1-12-4,35.77468991 ,139.6327152
9,高島平地域センター,板橋区高島平3-12-28,35.78704522 ,139.6589257
10,志村福祉事務所,板橋区蓮根2-28-1,35.78546584 ,139.675321
11,板橋東清掃事務所,板橋区東坂下2-20-9,35.78780524 ,139.6851954
12,大原社会教育会館,板橋区大原町5-18,35.76972978 ,139.7001073
