施設種別,名称,住所,備考,経度,緯度
給水施設,乙女塚配水池,川上町2629地内,立平バス停東側,130.5712031,31.65959196
給水施設,伊敷配水池,西伊敷7-34地内,西部市営住宅東側,130.5394222,31.64994402
給水施設,伊敷台ポンプ所,伊敷3-10地内,みずがめ座公園北側,130.5279004,31.62370839
給水施設,仁王堂水源地,清水町7地内,清水小学校北隣,130.5659596,31.60870309
給水施設,原良配水池,明和2-10地内,NTT原良分局東側,130.5166294,31.59524517
給水施設,星ヶ峯第一配水池,星ヶ峯4-31地内,黒ぢょか公園北側,130.490771,31.58012441
給水施設,皇徳寺第一配水池,皇徳寺台5-2地内,皇徳寺北公園東隣,130.4847965,31.56546046
給水施設,桜ヶ丘配水池,桜ヶ丘1-1地内,高圧鉄塔下,130.5118533,31.56169134
給水施設,新郡元水源地,南郡元町7地内,産業道路入口交差点北側,130.5465854,31.55780512
給水施設,宇宿ポンプ所,宇宿町6-18地内,中間橋南西側,130.5289301,31.55164799
給水施設,自由ヶ丘ポンプ所,自由ヶ丘2-16地内,動物衛生研究所東側,130.5107305,31.54364339
給水施設,高見ポンプ所,東谷山1-28地内,高見公園南隣,130.5298099,31.53763688
給水施設,中山ポンプ所,山田町709地内,新皇徳寺橋東側,130.5033242,31.55878917
給水施設,坂之上第二配水池,坂之上3-5地内,坂之上配水池前バス停前,130.5039852,31.5032469
給水施設,和田水源地,和田2-35地内,門前公園西側,130.5060519,31.50998553
給水施設,湯之防災タンク,東桜島町863-1地内,市東桜島合同庁舎内,130.6371076,31.55191516
給水施設,早田尻水源地,本城町1600地内,市立吉田学校給食センター東側,130.563066,31.71044891
給水施設,松元春山第二ポンプ所,春山町370地内,下り山三文字バス停東側,130.4590425,31.57259111
給水施設,中洲小学校,上之園町28-1,,130.54419,31.57978
給水施設,山下小学校,西千石町15-5,,130.55016,31.59085
給水施設,松原小学校,南林寺町2-18,,130.55874,31.58572
給水施設,長田中学校,小川町3-10,,130.55843,31.60015
給水施設,坂元中学校,玉里団地3-45-2,,130.54784,31.62293
給水施設,名山小学校,山下町6-43,,130.55545,31.59656
給水施設,坂元台小学校,西坂元町58-2,,130.55253,31.61612
給水施設,大龍小学校,大竜町11-44,,130.56291,31.60617
給水施設,紫原中学校,紫原6-31-19,,130.5287493,31.5647623
給水施設,鴨池小学校,真砂本町59-28,,130.5515862,31.55458716
給水施設,西紫原中学校,西紫原町26-1,,130.5267199,31.55786093
給水施設,紫原小学校,紫原2-36-50,,130.5363487,31.55902468
給水施設,八幡小学校,下荒田3-25-1,,130.55384,31.57136992
