災害時給水ステーション（給水拠点）一覧表,,,,,,,,,,,,別紙
（１）区部の給水拠点（応急給水槽、浄水場、給水所等）,,,,,,,,,,,,平成31年4月1日現在
,【水道局設置分】,,,,(m3),,,,,,,(m3)
番号,区名,施設名,,所在地,確保水量,,番号,区名,施設名,,所在地,確保水量
,,,,,,,,,,,,
1,千代田区,区立東郷元帥記念公園,★,三番町18番地,"1,500",,58,杉並区,区立蚕糸の森公園,★,和田三丁目55番,"1,500"
2,,都立日比谷公園,★,日比谷公園1番地,"1,500",,59,,区立昭栄公園,★,高井戸西一丁目12番,"1,500"
3,,都立一橋高等学校,☆,東神田一丁目12番13号,100,,60,,区立井草森公園,★,井草四丁目12番1号,"1,500"
4,中央区,晴海給水所,,晴海一丁目6番3号,"1,300",,61,,区立馬橋公園,☆,高円寺北四丁目35番5号,100
5,,区立あかつき公園,★,築地七丁目19番1号,"1,500",,62,,都立善福寺川緑地　,☆,成田西三丁目１４番,100
6,,区立堀留児童公園,☆,日本橋堀留町一丁目1番16号,100,,63,豊島区,区立西池袋公園,★,西池袋三丁目20番1号,"1,500"
7,港区,芝給水所,,芝公園三丁目6番７号,"26,600",,64,,都立文京高等学校,☆,西巣鴨一丁目1番5号,100
8,,都立青山公園,★,六本木七丁目23番,"1,500",,65,北区,区立桐ヶ丘中央公園,★,桐ヶ丘一丁目8番,"1,500"
9,,シティハイツ桂坂(港区防災活動拠点),☆,高輪二丁目13番8号,100,,66,,区立滝野川公園,★,西ヶ原二丁目1番,"1,500"
10,新宿区,淀橋給水所,,西新宿二丁目10番1号,"24,000",,67,,区立北運動公園,★,神谷二丁目47番6号,"1,500"
11,,区立鶴巻南公園,★,早稲田鶴巻町507番,"1,500",,68,荒川区,南千住給水所,,南千住八丁目2番6号,"33,300"
12,,区立百人町ふれあい公園,★,百人町三丁目28番,"1,500",,69,,区立日暮里南公園,★,東日暮里五丁目19番1号,"1,500"
13,文京区,本郷給水所,,本郷二丁目7番29号,"20,000",,70,板橋区,三園浄水場,,三園二丁目10番1号,"15,600"
14,,区立教育の森公園,★,大塚三丁目29番,"1,500",,71,,板橋給水所,,加賀一丁目17番1号,"26,600"
15,台東区,都立上野恩賜公園,★,上野公園8番51号,"1,500",,72,,大谷口給水所,,大谷口一丁目4番,"11,600"
16,,区立隅田公園山谷堀広場,☆,浅草七丁目1番,100,,73,,都立城北中央公園,★,桜川一丁目1番,"1,500"
17,墨田区,区立文花公園,★,文花一丁目27番5号,"1,500",,74,,区立城北公園,★,坂下二丁目19番1号,"1,500"
18,,区立両国公園,☆,両国四丁目25番3号,100,,75,,都立板橋高等学校,☆,大谷口一丁目54番1号,100
19,江東区,亀戸給水所,,亀戸二丁目6番50号,"20,000",,76,,都立赤塚公園,☆,高島平三丁目1番,100
20,,豊住給水所,,東陽六丁目1番8号,"13,300",,77,,区立西徳第二公園,☆,西台三丁目42番1号,100
21,,江東給水所,,新砂三丁目6番17号,"22,000",,78,練馬区,練馬給水所,,光が丘二丁目4番1号,"66,600"
22,,有明給水所,,有明三丁目1番8号,"6,600",,79,,区立大泉公園,★,大泉学園町六丁目25番,"1,500"
23,,区立南砂三丁目公園,★,南砂三丁目14番21号,"1,500",,80,,区立学田公園,★,豊玉南三丁目32番,"1,500"
24,,都立辰巳の森海浜公園,★,辰巳二丁目1番,"1,500",,81,,区立はやいち公園,☆,早宮一丁目47番11号,100
25,品川区,区立戸越公園,★,豊町二丁目1番30号,"1,500",,82,,区立みんなの広場公園,☆,石神井町八丁目41番,100
26,,区立しおじ公園,★,八潮五丁目6番,"1,500",,83,足立区,小右衛門給水所,,中央本町三丁目8番1号,"16,600"
27,,都立八潮高等学校,☆,東品川三丁目27番22号,100,,84,,区総合スポーツセンター,★,東保木間二丁目27番1号,"1,500"
28,目黒区,八雲給水所,,八雲一丁目1番,"16,600",,85,,区立千住スポーツ公園,★,千住緑町二丁目1番1号,"1,500"
